Toidu nimi (EST),"Energia (sh kiudained), kcal","Süsivesikud, imenduvad, g","Rasvad, g","Valgud, g","Alkohol, g","Vesi, g","Tuhk, g","Süsivesikud, kokku, g","Kiudained, g","Tärklis, g","Suhkrud, kokku, g","Sahharoos, g","Laktoos, g","Maltoos, g","Glükoos, g","Fruktoos, g","Galaktoos, g","Rasvhapped, kokku, g","Küllastunud rasvhapped, g","Monoküllastumata rasvhapped, g","Polüküllastumata rasvhapped, g","Trans-rasvhapped, g","Palmitiinhape (C16), g","Steariinhape (C18), g","Linoolhape (C18:2), g","Linoleenhape (C18:3), g","Kolesterool, mg","Naatrium, mg","Kaalium, mg","Kaltsium, mg","Magneesium, mg","Fosfor, mg","Raud, mg","Tsink, mg","Vask, mg","Mangaan, mg","Jood, µg","Seleen, µg","Kroom, µg","Nikkel, µg","Vitamiin A, RE","Retinool, µg","Beeta-karoteeni ekvivalent, BCE","Vitamiin D, µg","Vitamiin D3, µg","Vitamiin E, ?TE","Vitamiin K, µg","Vitamiin B1, mg","Vitamiin B2, mg","Niatsiini ekvivalent, kokku, NE","Niatsiin, mg","Niatsiini ekviv. trüptofaanist, mg","Pantoteenhape, mg","Vitamiin B6, mg","Biotiin, µg","Folaadid, µg","Vitamiin B12, µg","Vitamiin C, mg","Soola ekvivalent, g"
"Šokolaad, tume, 56% kakaod, tüüp 'Kalev'",552.7999878,52,33,6.900000095,0,1.200000048,1.600000024,62.09999847,10.10000038,10,42,42,0,0,0,0,0,32.59999847,20,10.5,2.099999905,0,8.199999809,11.60000038,1.100000024,0.100000001,0,4,400,50,89,150,3.200000048,1.299999952,1.100000024,0.920000017,2.5,4,30,370,8.82199955,6,34,0,0,1.299999952,5,0.050000001,0.090000004,1.799999952,0.800000012,1,0.349999994,0.02,6,15,0.289999992,1,0.01
"Šokolaad, valge",559,53,35,7.599999905,0,2,2.099999905,53.79999924,0.800000012,4,49,39.20000076,9.800000191,0,0,0,,33.20000076,20.89999962,11.69999981,0.600000024,,9.609999657,9.180000305,0.455000013,0.140000001,1.100000024,100,350,270,26,230,0.200000003,0.899999976,0.319999993,0.300000012,4.900000095,0.699999988,6,70,6.224999905,0,75,0,,0.200000003,,0.079999998,0.49000001,0.029999999,0.029999999,,1.100000024,0.07,3,10,0,0,0.25
"Šokolaadibatoon, nougati kreemi ja karamellitäidisega, tüüp 'Snickers'",498,60.20000076,23,8.600000381,0,4.46999979,1.429999948,53.79999924,1.899999976,9.399999619,50.79999924,34.5,11.19999981,0,2.410000086,2.430000067,,23.02000046,9.100000381,9.970000267,3.950000048,,4.940000057,4.510000229,4.170000076,0.136999995,9,240,559,90,84.80000305,225,0.680000007,1.129999995,0.419999987,0.395999998,9.899999619,0.959999979,5.699999809,160,25.45170021,23.79999924,19.89999962,0.319999993,,3.400000095,,0.140000001,0.180000007,3.700000048,2.400000095,,0.870000005,0.129999995,11,16,0.360000014,0.5,0.600000024
"Batoon, karamelli ja küpsisega, šokolaadikattega, tüüp 'Twix'",492,64.59999847,23.89999962,4.5,0,4.230000019,1.210000038,64,1.100000024,16,48.59999847,36,3.700000048,0,4.449999809,4.46999979,,23.89999962,13.80000019,8.420000076,1.679999948,,3.799999952,4.599999905,0.600000024,0.029999999,7,164,186,106,27,105,0.810000002,1.059999943,0.200000003,0.273000002,22,4.300000191,4.800000191,73,20,20,,1.399999976,,0.74000001,,0.159999996,0.209999993,1.200000048,1.100000024,,0.25999999,0.025,1.399999976,18,0.330000013,0.600000024,0.409999996
Šokolaadimaitseline glasuur,566,37.40000153,39.59999847,2.700000048,0,2,2.099999905,50.40000153,3.400000095,0.200000003,49.90000153,49.5,0.200000003,0,0.100000001,0.100000001,,39.59999847,38.09999847,1.399999976,0.100000001,,19.5,18.60000038,0.100000001,0,30,120,460,280,67,280,1.5,1.799999952,0.319999993,0.25999999,35,2,6,70,103.8180008,100,46,0,,0.74000001,,0.100000001,0.230000004,1.600000024,0.200000003,,1.100000024,0.07,3,10,0,0,0.300000012
Želatiin,344.8999939,0,0.100000001,86,0,13,1.299999952,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,32,22,11,33,0,0,0.200000003,,,,1,,,0,0,0,0,,0,,0,0,0,0,,0,0.01,0,0,0,0,0.079999998
"Tamarind, viljaliha",283.7000122,64.5,0.300000012,3.200000048,0,25.79999924,2.700000048,69.59999847,5.099999905,0,64.5,,0,,,,0,0.200000003,0.100000001,0.100000001,0,0,0.100000001,0,0,0,0,28,100,110,92,110,4.199999809,0.100000001,0.090000004,,,1.299999952,,,1.161999941,0,14,0,0,0.100000001,2.799999952,0.289999992,0.100000001,1.700000048,1.399999976,0.300000012,0.150000006,0.079999998,,14,0,3,0.07
"Hirsitangud, kuivaine",352.5,68.80000305,2.900000095,11.19999981,0,8.699999809,3.299999952,72,3.200000048,68.19999695,0.600000024,0.100000001,0,0,0.300000012,0.200000003,,2.5,0.600000024,0.600000024,1.299999952,,0.479999989,0.109999999,1.190000057,0.090000004,0,5,220,9,103,240,4.800000191,3.400000095,0.49000001,0.709999979,5,2,3,200,0,0,0,0,,0.050000001,0.899999976,0.25999999,0.140000001,3.599999905,1.600000024,2,0.850000024,0.75,,27,0,0,0.0125
"Tarretis, tüüp 'Farmi'",59.94459915,13.10000038,0,1.879999995,0,84.96199799,0.027912499,13.11229992,0.012325,0.075000003,13.10000038,13,0,0,0.0074375,0.00935,0,0,0,0,0,0,0,0,0,0,0,13,1.454020023,2.988600016,0.737501979,0.163002998,0.040977899,0,0,2.114049911,1.016559958,0.104535997,0.266719997,0.52896899,0.017284701,0,0.208250001,0,0,0,0.063749999,0,0,0,0,0,0,0,0,0.00920391,0,0.0597656,0.032499999
"Tatar, kuivaine",319.2000122,60.5,2,11.89999962,0,14,1.799999952,66.30000305,5.800000191,60,0.400000006,0.200000003,0,0,0.200000003,0,0,1.389999986,0.300000012,0.180000007,0.910000026,0,0.319999993,0,0.810000002,0.090000004,0,1,460,18,178,320,3.799999952,2.5,0.620000005,1.5,5,5,1.399999976,420,0,0,0,0,0,0.100000001,6.800000191,0.600000024,0.159999996,5.800000191,2.799999952,3,1.200000048,0.400000006,,35,0,0,0.0025
Jäätee,33,8,0,0,0,92,,8,0,0,8,8,0,0,0,0,,,0,0,0,,0,0,1,0,0,0.300000012,14.19999981,0.300000012,0.200000003,1.399999976,0,0,,,1.299999952,0,,,0.0166,0,0.200000003,0,,0,,0,0,0,0,,,0,,2.900000095,0,0.400000006,0
"Kibuvitsatee, valmis jook, suhkruta",0,0,0,,,99,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,25,0,0.899999976,1.399999976,0,0,,,,,,,,,,0,,0,,0,0.01,,0,,,,,,0,0,0
"Teepulber, lahustuv, suhkruga",399.6499939,97.80000305,0.730000019,0.119999997,0,0.129999995,0.469999999,98.59999847,0.699999988,0,0,,,,,,,0.34799999,0.097000003,0.033,0.217999995,,0.083999999,0,0.148000002,0.061000001,0,5,169,2,3,2,0.209999993,0.029999999,0.01,1.409999967,,0.600000024,,,0,0,0,,,0,,0.011,0,,0.129999995,,0,0.015,,1,0,0,0.0125
"Taimetee, valmis jook, suhkruta",0.400000006,0,0,0.100000001,0,99.90000153,0.029999999,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0.300000012,14,0.200000003,0.090000004,1.399999976,0.01,0.01,0,0.159999996,0.5,0.050000001,0.5,7,0,0,0,0,,0,,0,0.01,0.100000001,0.100000001,,0,,,,0,0,0
"Tee, valmis jook, suhkruta",0.400000006,0,0,0.100000001,0,99.90000153,0.029999999,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0.300000012,14,0.200000003,0.090000004,1.399999976,0.01,0.01,0,0.159999996,0.5,0.050000001,0.5,7,0,0,0,0,,0,,0,0.01,0.100000001,0.100000001,,0,,,,0,0,0
"Nisuterad, kõvad, kuivaine",358.9899902,73.30000305,1.710000038,11.30000019,0,9.569999695,1.519999981,75.90000153,2.599999905,54.5,0,,,,,,,1.230000019,0.280000001,0.200000003,0.75,,0.25999999,0.02,0.709999979,0.029999999,0,2,432,32,93,355,4.559999943,3.329999924,0.360000014,3.819999933,,,,,0,0,0,0,,,,0.389999986,0.109999999,,4.400000095,,0.949999988,0.370000005,,0,0,0,0
"Nisuterad, pehmed, kuivaine ",336.9100037,62.70000076,1.99000001,10.69999981,0,10.39999962,1.539999962,75.40000153,12.69999981,54,0,,,,,,,1.440000057,0.370000005,0.230000004,0.839999974,,0.349999994,0.02,0.800000012,0.039999999,0,2,435,34,90,402,5.369999886,3.460000038,0.430000007,3.410000086,,,,,0,0,0,0,,1.399999976,,0.409999996,0.109999999,,4.800000191,,0,0.379999995,,0,0,0,0.005
"Terad, paisutatud, keskmiselt",365,79.40000153,1,7,0,3,2.950000048,84.59999847,5.199999809,73.90000153,5.699999809,4,0,0,1,0.699999988,,0.870000005,0.200000003,0.230000004,0.439999998,,0.140000001,0.02,0.419999987,0.02,0,965,130,8,34,96,5.5,0.860000014,0.280000001,0.550000012,12,3,6,25,7.138000011,0,86,0,,0.200000003,,1,1,16,15,,0.5,0.129999995,0.899999976,12,0,0,2.412499905
"Rukkiterad, kuivaine",331.7000122,55.20000076,2.5,14.80000019,0,10.89999962,2.019999981,69.80000305,14.60000038,54,0,,,,,,,1.700000048,0.289999992,0.300000012,1.110000014,,0.270000011,0.01,0.959999979,0.159999996,0,6,264,33,121,374,2.670000076,3.730000019,0.449999988,2.680000067,,35,,,0,0,0,0,,1.899999976,,0.319999993,0.25,,4.300000191,,1.5,0.289999992,,0,0,0,0.015
"Tigu, konserveeritud, vedelikuta",93.30000305,1.899999976,2.5,15.80000019,0,77,2.400000095,1.899999976,0,,0,,,,,,,1.429999948,0.419999987,0.460000008,0.550000012,,0.209999993,0.129999995,0.029999999,0.029999999,78,390,140,71,50,310,7.400000095,3.599999905,,,,60,,,84,84,0,0,,1.200000048,,0.02,0.239999995,5.5,2.200000048,,,0.079999998,,18,10,0,0.975000024
"Viinamäetigu, värske",85,2,1.399999976,16.10000038,0,79,1.299999952,2,0,2,0,,,,,,,0.899999976,0.200000003,0.300000012,0.400000006,,0.150000006,0.059999999,0.050000001,0.029999999,50,73,121,170,250,200,3.5,2,,,,50,,,90,90,0,1.100000024,,0.800000012,,0.129999995,0.180000007,3.5,1.899999976,1.600000024,,0.050000001,,20,5,15,0.182500005
"Till, värske",30.60000038,0.899999976,0.800000012,3.700000048,0,86,2.5,3.400000095,2.5,0.100000001,0.800000012,0.300000012,0,0,0.300000012,0.200000003,0,0.699999988,0,0.600000024,0.100000001,0,0,0,0.100000001,0,0,26,750,340,44,85,3.200000048,1.799999952,0.150000006,1.25999999,3.900000095,2,20,5.699999809,506.2999878,0,6100,0,0,1.700000048,190,0.180000007,0.579999983,2.299999952,2.099999905,0.200000003,0.400000006,0.180000007,,36,0,86,0.064999998
Tofu,75.80000305,1.200000048,4.199999809,7.800000191,0,85,0.800000012,2.200000048,1,0.300000012,0.200000003,0.200000003,0,0,0,0,0,3.930000067,0.579999983,1,2.349999905,0,0.389999986,0.159999996,2.049999952,0.289999992,0,7,42,128,111,126,1.899999976,0.699999988,0.200000003,0.400000006,2,1,,,0.165999994,0,2,0,0,1,2.400000095,0.059999999,0.029999999,2.200000048,0.200000003,2,0.050000001,0.07,,15,0,0,0.0175
Hot and sweet kaste,103,25.70000076,0,0,0,74.5,3.190000057,26,0.510999978,0.837000012,23.33200073,22.89999962,0,0,0.144999996,0.287,,0.0148,0.0148,0,0.043900002,,0.0108,0,0.037999999,0,0,1190,87.90000153,8.75,5.929999828,12.10000038,0.282000005,0.072099999,0.039999999,0.052200001,68,0.119999997,0.449999988,0.75,6.996900082,0,84.30000305,0,,0.068999998,,0.011,0.015,0.150000006,0.140000001,,0.01,0.033,0.0078,2.700000048,0,10.5,2.974999905
Tai kaste,48,11.19999981,0,0,0,85.90000153,2.690000057,12,0.319999993,0,10.13500023,9.979999542,0,0,0.079999998,0.075000003,,0.0385,0.009,0,0.0295,,0.0075,0,0.021,0,0,1000,67.30000305,6.949999809,5.389999866,12.69999981,0.289000005,0.062899999,0.013,0.014,40,0.100000001,0.239999995,0.5,6.166900158,0,74.30000305,0,,0.119999997,,0.0068,0.008,0.289999992,0.25,,0.013,0.023,0.027000001,1.100000024,0,0.587000012,2.5
Tomat,21.89999962,3.5,0.300000012,0.600000024,0,94.69999695,0.460000008,4.900000095,1.399999976,0.100000001,3.400000095,0.100000001,0,0,1.299999952,2,0,0.059999999,0,0,0.059999999,0,0,0,0.059999999,0,0,2.5,290,9,11,30,0.300000012,0.200000003,0.059999999,0.090000004,0.200000003,0,1.5,3.200000048,42.99399948,0,518,0,0,0.74000001,5,0.059999999,0.039999999,0.850000024,0.699999988,0.150000006,0.189999998,0.100000001,1.399999976,17,0,14.10000038,0.00625
"Tomatid, purustatud, konserveeritud",27.39999962,4.900000095,0.200000003,0.800000012,0,92,1,6.300000191,1.399999976,,2.039999962,0.039999999,0,,0.800000012,1.200000048,,0.159999996,0.039999999,0.02,0.100000001,,0.029999999,0.01,0.090000004,0.01,0,217,251,26,11,23,0.5,0.200000003,,,,1,,,29.04999924,0,350,0,,0.699999988,,0.059999999,0.029999999,0.800000012,0.699999988,,0.200000003,0.090000004,1.5,6,0,0,0.542500019
"Tomatid, konserveeritud, vedelikuta",18.29999924,3,0.100000001,1,0,94,0.800000012,3.700000048,0.699999988,0.200000003,2.700000048,0,0,0,1.299999952,1.399999976,,,,,,,,,,,0,39,250,12,11,19,0.400000006,0.100000001,0.07,0.100000001,3,0.319999993,1.299999952,0.319999993,18.26000023,0,220,0,,1.200000048,,0.050000001,0.02,0.800000012,0.699999988,,0.200000003,0.109999999,1.5,11,0,12,0.097499996
Tomatipasta,88.09999847,13.60000038,0.899999976,3.799999952,0,74,2.400000095,18.79999924,5.199999809,,0,,,,,,,0.720000029,0.170000002,0.100000001,0.449999988,,0.140000001,0.02,0.389999986,0.039999999,0,65,930,35,51,79,3,0.800000012,,,,0,,,122.8399963,0,1480,0,,2.299999952,,0.159999996,0.189999998,4,3.200000048,,,0.379999995,,10,0,42,0.162499994
Tomatipüree,41.47999954,7.900000095,0.119999997,1.700000048,0,87,0.939999998,8.899999619,1,0.200000003,7.800000191,0.100000001,0,0,3,4.699999809,,0.090000004,0.02,0.02,0.050000001,,0.01,0,0.050000001,0,0,20,420,15,24,40,0.930000007,0.200000003,0.159999996,0.159999996,2.200000048,0.400000006,5,30,54.94599915,0,662,0,,0.680000007,,0.07,0.050000001,4.099999905,3.5,,0.439999998,0.150000006,6.099999905,72,0,9,0.050000001
Juubeli tordipulber,384,78.5,4,8,0,9.369999886,0.754999995,79,1.399999976,25.29999924,53.22000122,42.59999847,10.5,0,0.039999999,0.079999998,,2.760999918,1.860000014,0.901000023,0.407999992,,0.860000014,0.266000003,0.34799999,0.043099999,27.20000076,139,371,169,31.20000076,187,2.309999943,0.822000027,0.094999999,0.195999995,26,8.800000191,1,5.800000191,33.17979813,32.29999924,10.60000038,0.092,,0.280000001,,0.25,0.370000005,3.099999905,0.5,,1,0.119999997,3,15,0.560000002,0.944999993,0.347499996
"Tortilla, pehme, tüüp 'Santa Maria'",268.6000061,49.5,4.199999809,7.199999809,0,27.60000038,,51.5,2,48.59999847,0.899999976,,,,,,,,0.600000024,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120000005
Tritikale jahu,343.3999939,63.70000076,2.480000019,13.19999981,0,12.30000019,2.230000019,70.44000244,6.739999771,,0,,,,,,,1.49000001,0.370000005,0.209999993,0.910000026,0,0.279000014,0.021,1.039999962,0.089000002,0,26,443,38,155,380,5.900000095,3.200000048,0.670000017,3.900000095,,,,,0,0,0,0,0,1.200000048,,0.360000014,0.319999993,2.099999905,2.099999905,,0.670000017,0.140000001,,17,0,0,0.064999998
Tomati-tšillikaste,80.09999847,16.79999924,0.5,1.5,0,77,3.099999905,18,1.200000048,,0,,,,,,,0.349999994,0.07,0.079999998,0.200000003,,0.050000001,0.02,0.189999998,0.01,0,860,400,13,18,32,1.299999952,0.200000003,,,,0,,,142.7599945,0,1720,0,,1.5,,0.079999998,0.050000001,1.399999976,1.200000048,,0,0.109999999,0,21,0,15,2.150000095
"Tursk, külmutatud, sulatatud",74.30000305,0,0.699999988,17,0,82,1.200000048,0,0,0,0,0,0,0,0,0,,0.49000001,0.129999995,0.079999998,0.280000001,,0.100000001,0.029999999,0,0,43,58,340,28,21,220,0.159999996,0.419999987,0.033,0.029999999,40,27,1,2,1.860000014,1.860000014,0,1,,1,,0.050000001,0.039999999,5,2,,0.140000001,0.219999999,1.100000024,16,1.100000024,0,0.144999996
"Tursk, värske",77.30000305,0,0.5,18.20000076,0,81,1.100000024,0,0,0,0,0,0,0,0,0,,0.289999992,0.079999998,0,0.209999993,,0,0,0,0,48.40000153,59,402,12,27,217,0.119999997,0.600000024,0,0,180,27,0.899999976,2.400000095,2.299999952,2.299999952,0,1,1,0.670000017,,0.050000001,0.050000001,5.5,2,3.5,0.140000001,0.140000001,1.100000024,14,1.399999976,0,0.147499993
Kartulitärklis,333.2000122,81.59999847,0,1,0,16,1,83,1.399999976,80.69999695,0.899999976,0.200000003,0,0.100000001,0.5,0.100000001,0,0,0,0,0,0,0,0,0,0,0,3.700000048,60,18,8,80,0.600000024,0.200000003,0.129999995,0.100000001,30,1,3,4,0,0,0,0,0,0,0,0,0,0.200000003,0.150000006,0.050000001,,0,,82,0,0,0.00925
Maisitärklis,346.2999878,85.90000153,0.100000001,0.400000006,0,12.60000038,0.200000003,86,0.100000001,85.90000153,0,0,0,0,0,0,0,0.100000001,0,0,0,0,0,0,0,0,0,3,7,0,2,30,0.5,0.300000012,0.129999995,1,2.5,0,,,0,0,0,0,0,0,0,0,0.008,0.129999995,0.029999999,0.100000001,0,0,0,0,0,0,0.0075
"Oad, keskmiselt, konserveeritud, vedelikuta",76.19000244,11.39999962,0.310000002,5.199999809,0,77.90000153,1.659999967,14.89999962,3.5,,,,,,,,,0.059999999,0.039999999,0.02,0.170000002,,0.039999999,0,0.07,0.100000001,0,347,257,27,31,105,1.230000019,0.550000012,0.150000006,0.219999999,,,,,0,,,,,,,0.109999999,0.07,0.5,,,0.150000006,0.07,,49,0,1.200000048,0.867500007
"Oad, keskmiselt, kuivatatud, keedetud",122.4000015,17.29999924,0.400000006,9.199999809,0,65,1.419999957,23.70000076,6.400000095,15.19999981,0.899999976,0.800000012,0,0,0.100000001,0,,0.340000004,0.079999998,0.039999999,0.219999999,,0.07,0.01,0.100000001,0.119999997,0,4,482,59,54,128,3.319999933,1.230000019,0.25999999,0.560000002,,5,,,0,0,0,0,,0.5,,0.140000001,0.059999999,2.200000048,0.360000014,,0.200000003,0.109999999,0,110,0,0.600000024,0.01
"Oad, kuivatatud, keskmiselt",336.2000122,47.59999847,0.800000012,23.5,0,12,4,69.90000153,22.29999924,42.70000076,2.900000095,1.600000024,0,0,0.800000012,0.5,,0.649999976,0.170000002,0.07,0.409999996,,0.159999996,0.01,0.189999998,0.219999999,0,20,1600,192,165,354,9.100000381,3.349999905,0.970000029,1.399999976,1,14,9,170,14.93999958,0,180,0,,0.5,,0.49000001,0.189999998,6.400000095,1.299999952,,0.800000012,0.360000014,0.5,390,0,2.299999952,0.050000001
"Oad, pruunid, keedetud",122.3000031,17.39999962,0.5,8.699999809,0,67,1.090000033,24.10000038,6.699999809,14.5,0.899999976,0.800000012,0,0,0.100000001,0,,0.109999999,0.07,0.039999999,0.280000001,,0.059999999,0.01,0.109999999,0.170000002,0,2,403,28,45,142,2.940000057,1.070000052,0.239999995,0.479999989,,6,,,0,0,0,0,,0.5,,0.159999996,0.059999999,2.299999952,0.579999983,,0.219999999,0.119999997,,130,0,1.200000048,0.005
"Oad, pruunid, kuivatatud",327.0700073,45.5,0.829999983,23.60000038,0,11.80000019,3.799999952,67.09999847,21.60000038,42.70000076,2.799999952,0.699999988,0,0,1.299999952,0.800000012,,0.180000007,0.119999997,0.059999999,0.460000008,,0.109999999,0.01,0.180000007,0.280000001,0,24,1410,143,140,407,8.199999809,3,0.959999979,1,1.899999976,16,8.800000191,330,14.93999958,0,180,0,,0.5,,0.529999971,0.219999999,6.800000191,2.099999905,,0.779999971,0.400000006,0.5,390,0,4.5,0.059999999
"Oad, punased, kuivatatud",321.5,48,1.5,22,0,10.80000019,3.700000048,62,14,,0,,,,,,,0.300000012,0.200000003,0.100000001,0.899999976,,,,,,0,10,990,110,163,405,6.900000095,2.799999952,,,,2,,,0.995999992,0,12,0,,0.300000012,,0.50999999,0.200000003,7,2.299999952,,,0.560000002,,390,0,0,0.025
"Oad, punased, kuivatatud, keedetud",107.9000015,14.60000038,0.5,7.800000191,0,69,1.299999952,21.5,6.900000095,,0,,,,,,,0.100000001,0.100000001,0,0.300000012,,,,,,0,3,340,38,54,140,1.5,1,,,,1,,,0.331999987,0,4,0,,0.100000001,,0.109999999,0.059999999,2.400000095,0.699999988,,,0.119999997,,130,0,0,0.0075
"Põldoad, värsked",72.80000305,7.199999809,1,5.699999809,0,80.30000305,1.100000024,13.30000019,6.099999905,5.400000095,1.299999952,0.899999976,0,0,0.100000001,0.300000012,0,0.699999988,0.100000001,0.100000001,0.5,0,0.100000001,0,0.200000003,0.300000012,0,1,310,23,24,130,0.899999976,0.899999976,0.100000001,0.200000003,4,1,,,14.10999966,0,170,0,0,0.460000008,9,0.039999999,0.039999999,4.099999905,3.200000048,0.899999976,4.900000095,0.059999999,2.700000048,150,0,32,0.0025
"Põldoad, kuivatatud",313.6000061,41.59999847,1.600000024,25,0,11.89999962,3.099999905,58,16.39999962,,0,,,,,,,1.279999971,0.230000004,0.330000013,0.720000029,,0.180000007,0.029999999,0.670000017,0.050000001,0,13,1530,102,192,390,7.099999905,2.799999952,,,,2,,,34.86000061,0,420,0,,0.300000012,,0.5,0.300000012,6.800000191,2.5,,,0.560000002,,430,0,0,0.032499999
"Sojaoad, kuivatatud",390.2999878,15.80000019,17.70000076,34.09999847,0,10,4.900000095,31.5,15.69999981,4.800000191,5.5,4.800000191,0,0,0.200000003,0.5,,7.099999905,2.599999905,4.5,10.5,,1.769999981,0.709999979,9.199999809,1.309999943,0,4,1680,226,225,554,8.399999619,1,0.109999999,2.799999952,6.300000191,14,,700,3.983999968,0,48,0,,2,,1.100000024,0.310000002,9.5,2.200000048,,1.899999976,0.419999987,60,280,0,0,0.01
"Oad, valged, keedetud",122.9499969,17.20000076,0.349999994,9.699999809,0,63,1.75,23.29999924,6.099999905,15.80000019,0.800000012,0.699999988,0,0,0.100000001,0,,0.119999997,0.090000004,0.029999999,0.150000006,,0.079999998,0.01,0.079999998,0.07,0,6,561,90,63,113,3.700000048,1.379999995,0.289999992,0.639999986,,4,,,0,0,0,0,,0.5,,0.119999997,0.050000001,2,0.140000001,,0.230000004,0.090000004,,81,0,0,0.015
"Oad, valged, konserv. tomatikastmes",101.5,16.20000076,0.699999988,5.099999905,0,72.80000305,1.700000048,21.20000076,5,14,4.800000191,3.400000095,0,0,0.600000024,0.800000012,0,0.379999995,0.079999998,0.050000001,0.25,0,0.079999998,0,0.100000001,0.150000006,0,261,272,32,31,191,1.299999952,0.300000012,0.239999995,0.330000013,0,3,,,1.909000039,0,23,0,0,0.600000024,6.099999905,0.140000001,0.07,2,0.400000006,1.600000024,0.109999999,0.129999995,2.5,65,0,3,0.652499974
"Oad, valged, kuivatatud",345.8500061,49.70000076,0.850000024,23.39999962,0,11.30000019,4.199999809,72.59999847,22.89999962,42.70000076,2.799999952,2.5,0,0,0.200000003,0.100000001,,0.289999992,0.219999999,0.07,0.360000014,,0.209999993,0.01,0.200000003,0.159999996,0,16,1800,240,190,301,10,3.700000048,0.980000019,1.799999952,0.600000024,12,8.800000191,,14.93999958,0,180,0,,0.5,,0.439999998,0.150000006,6.099999905,0.469999999,,0.730000019,0.319999993,0.5,390,0,0,0.039999999
"Vaarikad, külmutatud",37.5,5.400000095,0.5,1,0,89,0.400000006,9.100000381,3.700000048,0,2.049999952,0.079999998,0,0,0.75,1.220000029,0,0.319999993,0,0,0.319999993,0,0,0,0.170000002,0.150000006,0,1,200,20,25,30,1,0.300000012,0.100000001,1.200000048,0.400000006,0.189999998,0.800000012,18,0.497999996,0,6,0,0,1.399999976,7.800000191,0.02,0.050000001,0.75,0.5,0.25,0.239999995,0.029999999,1.899999976,26,0,25,0.0025
"Vahvel, paki, kreemitäidisega",356.7999878,79.30000305,2.799999952,3.200000048,0,12,0.200000003,80.09999847,0.800000012,,,,,,,,,,,,,,,,,,,5,33,10,2,33,0.600000024,,,,,,,,0,,,,,,,0.039999999,0.01,0.400000006,,,,,,,,0,0.0125
Vaniljekaste,168.779007,15.90260029,9.587739944,4.718709946,0,68.79579926,1.433869958,15.90480042,0,1.93967998,9.172579765,4.829030037,4.317739964,0,0.0258065,0,0,8.743550301,5,2.935480118,0.808063984,0.125806004,2.522579908,0.93225801,0.548386991,0.058064502,178.0480042,331.5339966,113.9680023,114.4810028,10.47739983,144.602005,0.746613026,0.717903018,0.0245806,0.0354839,21.47739983,5.024189949,0.677419007,0.699999988,121.0999985,117,49.40319824,0.853226006,0.853226006,0.830645025,1.241940022,0.045838699,0.066667698,0.958745003,0.0218258,1.102259994,0.675484002,0.0670968,6.374189854,18.61689949,1.203230023,0.201612994,0.828835011
"Vasikaliha, kaelakarbonaad, toores",184,0,12,19,0,69,0.930000007,0,0,0,0,0,0,0,0,0,,11.39999962,5.46999979,4.920000076,1.049999952,,2.710000038,2.470000029,0.579999983,0.180000007,70,65,290,10,19,160,1.799999952,5.5,0.083999999,0.01,2.5,18,1,1,5.90899992,4,23,0.400000006,,0.340000004,,0.079999998,0.140000001,8,4.699999809,,0.600000024,0.449999988,0,7,2,0,0.162499994
"Vasikaliha, keskmiselt, toores",146.8000031,0,7.599999905,19.60000038,0,72,1.049999952,0,0,0,0,0,0,0,0,0,,7.159999847,3.200000048,3.450000048,0.50999999,,1.610000014,1.190000057,0.310000002,0.029999999,71,56,325,7.300000191,21.5,180,1.899999976,3.599999905,0.086000003,0.01,3,19,2,1,13.99199963,12,24,0.300000012,,0.319999993,,0.100000001,0.150000006,8.300000191,5,,0.600000024,0.289999992,0,9,1.5,0,0.140000001
"Vasikaliha, laba, toores",105.1999969,0,2.799999952,20,0,69,1,0,0,0,0,0,0,0,0,0,,2.529999971,1.149999976,1.220000029,0.159999996,,0.569999993,0.439999998,0.100000001,0.01,71,71,320,7.599999905,23,170,1.600000024,4,0.085000001,0.01,2.5,18,1,1,6.317299843,4.400000095,23.10000038,0.300000012,,0.340000004,,0.090000004,0.159999996,9.300000191,6,,0.699999988,0.400000006,0,10,1.299999952,0,0.177499995
"Vasikaliha, praetükk, toores",106.5,0,2.5,21,0,75,1.200000048,0,0,0,0,0,0,0,0,0,,2.269999981,0.930000007,1.100000024,0.239999995,,0.519999981,0.289999992,0.129999995,0.01,71,55,400,6,26,220,1.700000048,3.900000095,0.097999997,0.01,2.5,20,1,1,4.866300106,2.700000048,26.10000038,0.300000012,,0.25999999,,0.109999999,0.170000002,9,5.300000191,,0.699999988,0.319999993,0,10,2,0,0.137500003
"Vasikaliha, rind, toores",186.6999969,0,12.69999981,18.10000038,0,68,0.899999976,0,0,0,0,0,0,0,0,0,,12.03999996,5.46999979,5.800000191,0.769999981,,2.700000048,2.079999924,0.479999989,0.039999999,71,56,250,8.600000381,17,140,2.099999905,3.299999952,0.074000001,0.01,2.5,18,3,1,23.83429909,22,22.10000038,0.300000012,,0.370000005,,0.079999998,0.119999997,7.5,4.699999809,,0.5,0.25,0,8,1,0,0.140000001
