Toidu nimi (EST),"Energia (sh kiudained), kcal","Süsivesikud, imenduvad, g","Rasvad, g","Valgud, g","Alkohol, g","Vesi, g","Tuhk, g","Süsivesikud, kokku, g","Kiudained, g","Tärklis, g","Suhkrud, kokku, g","Sahharoos, g","Laktoos, g","Maltoos, g","Glükoos, g","Fruktoos, g","Galaktoos, g","Rasvhapped, kokku, g","Küllastunud rasvhapped, g","Monoküllastumata rasvhapped, g","Polüküllastumata rasvhapped, g","Trans-rasvhapped, g","Palmitiinhape (C16), g","Steariinhape (C18), g","Linoolhape (C18:2), g","Linoleenhape (C18:3), g","Kolesterool, mg","Naatrium, mg","Kaalium, mg","Kaltsium, mg","Magneesium, mg","Fosfor, mg","Raud, mg","Tsink, mg","Vask, mg","Mangaan, mg","Jood, µg","Seleen, µg","Kroom, µg","Nikkel, µg","Vitamiin A, RE","Retinool, µg","Beeta-karoteeni ekvivalent, BCE","Vitamiin D, µg","Vitamiin D3, µg","Vitamiin E, ?TE","Vitamiin K, µg","Vitamiin B1, mg","Vitamiin B2, mg","Niatsiini ekvivalent, kokku, NE","Niatsiin, mg","Niatsiini ekviv. trüptofaanist, mg","Pantoteenhape, mg","Vitamiin B6, mg","Biotiin, µg","Folaadid, µg","Vitamiin B12, µg","Vitamiin C, mg","Soola ekvivalent, g"
Kana-paprikasupp,50.15520096,3.463500023,1.942000031,4.299499989,0,88.8730011,0.367150009,4.276100159,0.812600017,2.01850009,1.381500006,0.266499996,0,0,0.518999994,0.596000016,0,1.897899985,0.176899999,1.10405004,0.604950011,0,0.113499999,0.041900001,0.42385,0.130999997,15.30000019,13.68000031,116.8199997,9.312999725,7.619999886,35.04600143,0.278950006,0.368849993,0.041239999,1.58375001,1.220499992,2.338500023,0.928499997,4.09649992,53.26649857,1.529999971,620.414978,0.034000002,0.034000002,0.75029999,4.730999947,0.01302,0.021524999,1.548329949,0.964110017,0.834599972,0.165749997,0.109169997,0.665400028,7.894999981,0.088399999,8.697999954,0.034200002
Kartulipüreesupp seente ja peekoniga,100.810997,8.010000229,5.835000038,3.440000057,0,80.16999817,1.39199996,9.258000374,1.248000026,6.460000038,1.559999943,0.170000002,0.839999974,0,0.280000001,0.270000011,0,5.13049984,2.551500082,2.136499882,0.466500014,0.079999998,1.342000008,0.649999976,0.365999997,0.075999998,13.11999989,108.8799973,308.3999939,29.62999916,15.77999973,75.15000153,0.355500013,0.43599999,0.061799999,0.618399978,3.640000105,1.202499986,0.699999988,3.720000029,20.97260094,19.59000015,15.97999954,0.105999999,0.105999999,0.149000004,0.629999995,0.056899998,0.077825002,1.742300034,1.156399965,0.671999991,0.329400003,0.0744,2.788800001,8.265000343,0.143999994,1.899999976,0.271200001
Koorene kalasupp,61.44150162,2.132999897,3.592499971,4.695499897,0,87.04000092,1.017199993,3.030499935,0.897499979,0.358999997,1.54400003,0.550499976,0.209999993,0,0.399500012,0.384000003,0,2.992199898,0.767449975,1.625399947,0.80734998,0.02,0.427249998,0.143199995,0.423150003,0.137349993,41.24499893,220.352005,219.1499939,31.86499977,11.39500046,78.33999634,0.405999988,0.532000005,0.0372,0.141350001,9.659999847,4.75,1.102499962,3.970000029,178.7640076,16.11000061,1952.449951,1.05400002,0.134000003,0.851599991,11.53499985,0.0284,0.037875,1.396600008,0.806900024,0.165999994,0.223900005,0.083959997,2.300899982,9.607500076,1.273000002,1.922500014,0.550880015
Kuldne kalasupp,57.69390106,3.598999977,2.255500078,5.421999931,0,86.94049835,1.081750035,4.254199982,0.655200005,2.355000019,1.059999943,0.087499999,0,0,0.433499992,0.538999975,0,1.696050048,0.312000006,1.039999962,0.592649996,0,0.200000003,0.043499999,0.234799996,0.100000001,18.2859993,174.3350067,275.6199951,26.67099953,15.3210001,77.73400116,0.389750004,0.382250011,0.037919998,0.104450002,9.918000221,5.091100216,1.324499965,3.98300004,11.1967001,1.625,114.3560028,1.149999976,0,0.644800007,5.705999851,0.022776,0.03435,1.719269991,1.067780018,0.151700005,0.202439994,0.108779997,1.234500051,8.852499962,1.399999976,1.75849998,0.435838014
Kõrvitsapüreesupp,68.75900269,3.936000109,4.972000122,1.569000006,0,88.08000183,0.709399998,4.931499958,0.995500028,0.842000008,3.023999929,0.386000007,1.590000033,0,0.565999985,0.481999993,0,4.840400219,0.859399974,2.714900017,1.234099984,0,0.40169999,0.157199994,0.783500016,0.304699987,2.569999933,109.9489975,178.6999969,49.77999878,9.739999771,42.25,0.200499997,0.182999998,0.040100001,0.787599981,5.639999866,0.672500014,1.13499999,1.269999981,79.93740082,7.5,869.3660278,0,0,1.240200043,10.32999992,0.01622,0.025075,0.404249996,0.158549994,0.305000007,0.171599999,0.02688,0.503400028,9.840000153,0.126000002,1.231250048,0.274872988
Köögiviljapüreesupp frikadellidega,72.92749786,3.929899931,4.121900082,4.566599846,0,85.05950165,0.51770997,4.852099895,0.922200024,2.303999901,1.50090003,0.392500013,0,0,0.558899999,0.549499989,0,3.95656991,1.190590024,1.982769966,0.772210002,0,0.374879986,0.287339985,0.47104001,0.172110006,17.9659996,21.23450089,221.8600006,17.82900047,10.75800037,48.39500046,0.625249982,0.849250019,0.050058,1.387959957,1.484750032,3.113500118,1.105000019,1.914600015,73.57649994,8.453000069,781.6970215,0.111100003,0.037700001,0.640690029,9.082900047,0.019595999,0.034325,1.544620037,0.897800028,0.195299998,0.162359998,0.061278,0.496499985,7.493000031,0.401899993,1.64625001,0.053086299
Seene-köögiviljasupp räimedega,62.36529922,2.126300097,3.666699886,4.769999981,0,87.64150238,0.748899996,3.016200066,0.889900029,0.847949982,1.119449973,0.470849991,0.0088,0,0.300999999,0.338800013,0,2.967600107,0.936200023,1.246099949,0.792299986,0.064999998,0.532899976,0.127200007,0.318100005,0.139200002,22.46999931,111.7839966,194.7599945,28.66250038,12.24600029,74.83999634,0.459300011,0.613749981,0.026660001,1.607149959,8.80700016,7.103499889,0.920000017,3.368999958,111.2080002,9.07199955,1226.02002,4.163000107,0,0.894500017,9.964799881,0.02012,0.046525002,1.602589965,0.900640011,0.910350025,0.221809998,0.058200002,1.647300005,5.929999828,3.900000095,0.675999999,0.279449999
Suvikõrvitsa-lillkapsapüreesupp suitsujuustuga,64.1434021,2.245599985,4.440999985,3.403000116,0,87.82800293,0.726499975,3.035599947,0.790000021,0.238999993,2.006599903,0.114,0.697600007,0,0.58099997,0.614000022,0,4.200699806,2.743999958,1.283200026,0.198500007,0.092,1.253999949,0.43900001,0.095600002,0.071999997,11.46000004,69.30000305,166.5599976,94.08599854,9.902000427,52.02999878,0.282999992,0.337300003,0.008,1.10010004,2.937000036,1.347000003,1.019999981,1.988999963,44.02529907,32.40000153,52.86000061,0.017000001,0.014,0.143600002,5.021999836,0.013,0.045499999,0.587100029,0.198699996,0.226999998,0.180999994,0.05328,0.653999984,11.23499966,0.134000003,4.280499935,0.173250005
"Sink, praetud õliga",155.5,0,7.5,22,0,67,3.400000095,0,0,0,0,0,0,0,0,0,0,7.099999905,1.679999948,3.730000019,1.690000057,0,1.070000052,0.508000016,1.18900001,0.257999986,45,920,240,5.699999809,15,200,0.703000009,1.799999952,0.059999999,0.01,1.25,28,2,3,2.008219957,2,0.0495,0,0,0.810000002,4.5,0.524999976,0.172499999,6.034999847,3.230000019,0,0.479999989,0.351999998,1.600000024,4.5,0.579999983,0,2.299999952
Makaroni-hakkliha-köögiviljavorm,247.1009979,24.77799988,10.10750008,13.48400021,0,47.92699814,1.129150033,26.32049942,1.542500019,21.16049957,1.871999979,0.2095,1.059999943,0,0.361000001,0.241500005,0,9.443949699,3.110650063,4.392449856,1.940850019,0.056000002,1.56704998,0.801400006,1.270300031,0.366849989,70.76999664,109.0350037,224.1399994,101.1500015,22.76499939,165.6849976,1.534199953,1.907500029,0.118019998,1.230900049,11.99950027,9.065999985,2.976999998,6.652999878,95.53990173,55.41999817,483.3059998,0.493600011,0.389600009,1.291499972,9.241200447,0.046080001,0.080349997,3.144750118,1.221150041,1.702000022,0.45243001,0.082979999,2.098500013,16.44499969,1.014999986,0.845000029,0.272588015
